Dayton,Ohio,141003,39°46′39″N,84°11′59″W
Pasadena,California,140881,34°09′38″N,118°08′23″W
Orange,California,139812,33°48′17″N,117°49′30″W
Fullerton,California,139677,33°53′09″N,117°55′41″W
McAllen,Texas,138596,26°13′07″N,98°14′46″W
Killeen,Texas,138154,31°04′40″N,97°43′55″W
Hampton,Virginia,136879,37°02′53″N,76°17′50″W
Bellevue,Washington,136426,47°35′52″N,122°09′23″W
Warren,Michigan,135099,42°29′34″N,83°01′30″W
Miramar,Florida,134989,25°58′37″N,80°20′09″W
West Valley City,Utah,134495,40°41′19″N,112°00′42″W
Olathe,Kansas,133062,38°53′03″N,94°49′08″W
Columbia,South Carolina,132067,34°01′47″N,80°53′48″W
Sterling Heights,Michigan,131741,42°34′52″N,83°01′49″W
Thornton,Colorado,130307,39°55′05″N,104°56′43″W
New Haven,Connecticut,130282,41°18′39″N,72°55′30″W
Waco,Texas,130194,31°33′36″N,97°11′10″W
Charleston,South Carolina,130113,32°49′04″N,79°57′32″W
Thousand Oaks,California,129342,34°11′36″N,118°52′27″W
Visalia,California,129281,36°19′38″N,119°19′24″W
Cedar Rapids,Iowa,129195,41°58′01″N,91°40′40″W
Elizabeth,New Jersey,128705,40°39′59″N,74°11′37″W
Roseville,California,128615,38°45′57″N,121°18′12″W
Gainesville,Florida,128460,29°40′44″N,82°20′45″W
Carrollton,Texas,128353,32°59′18″N,96°53′59″W
Stamford,Connecticut,128278,41°04′48″N,73°32′46″W
Denton,Texas,128205,33°12′54″N,97°08′30″W
Midland,Texas,128037,32°01′48″N,102°06′35″W
Coral Springs,Florida,127952,26°16′15″N,80°15′33″W
Concord,California,127522,37°58′20″N,122°00′06″W
Topeka,Kansas,127215,39°02′10″N,95°41′41″W
Simi Valley,California,126871,34°16′01″N,118°44′55″W
Surprise,Arizona,126275,33°40′14″N,112°27′10″W
Lafayette,Louisiana,126066,30°12′42″N,92°01′53″W
Kent,Washington,125560,47°23′07″N,122°13′01″W
Hartford,Connecticut,124705,41°45′58″N,72°41′00″W
Santa Clara,California,122192,37°21′53″N,121°58′04″W
Victorville,California,121901,34°31′40″N,117°21′13″W
Abilene,Texas,120958,32°27′16″N,99°44′17″W
Murfreesboro,Tennessee,120954,35°51′08″N,86°24′58″W
Evansville,Indiana,120346,37°59′16″N,87°32′05″W
Vallejo,California,120228,38°06′28″N,122°15′50″W
Athens,Georgia,119648,33°56′59″N,83°22′12″W
Allentown,Pennsylvania,119104,40°35′38″N,75°28′42″W
Berkeley,California,118853,37°52′00″N,122°17′57″W
Norman,Oklahoma,118040,35°14′26″N,97°20′43″W
Ann Arbor,Michigan,117770,42°16′32″N,83°43′53″W
Beaumont,Texas,117585,30°05′03″N,94°08′45″W
Independence,Missouri,117494,39°05′07″N,94°21′05″W
Columbia,Missouri,116906,38°56′52″N,92°19′34″W
Springfield,Illinois,116809,39°45′50″N,89°40′15″W
El Monte,California,116631,34°04′29″N,118°01′45″W
Fargo,North Dakota,115863,46°51′55″N,96°49′44″W
Peoria,Illinois,115828,40°45′08″N,89°37′02″W
Provo,Utah,114801,40°14′43″N,111°38′41″W
Lansing,Michigan,114620,42°42′35″N,84°33′22″W
Odessa,Texas,114597,31°52′49″N,102°20′36″W
Downey,California,114172,33°56′18″N,118°07′51″W
Wilmington,North Carolina,113657,34°12′33″N,77°53′09″W
Arvada,Colorado,113574,39°48′35″N,105°06′24″W
Costa Mesa,California,112784,33°39′57″N,117°54′44″W
Round Rock,Texas,112744,30°31′25″N,97°40′03″W
Carlsbad,California,112299,33°07′26″N,117°16′58″W
Miami Gardens,Florida,112265,25°56′56″N,80°14′37″W
Westminster,Colorado,112090,39°52′56″N,105°03′52″W
Inglewood,California,111905,33°57′22″N,118°20′39″W
Rochester,Minnesota,111402,44°00′55″N,92°28′38″W
Fairfield,California,111125,38°15′24″N,122°02′23″W
Elgin,Illinois,111117,42°02′23″N,88°19′18″W
West Jordan,Utah,110920,40°36′08″N,112°00′04″W
Clearwater,Florida,110703,27°58′46″N,82°45′59″W
Manchester,New Hampshire,110448,42°59′05″N,71°26′38″W
Lowell,Massachusetts,109945,42°38′20″N,71°19′20″W
Gresham,Oregon,109892,45°30′08″N,122°26′30″W
Cambridge,Massachusetts,109694,42°22′34″N,71°07′06″W
Ventura,California,109484,34°16′05″N,119°15′18″W
Temecula,California,109428,33°30′07″N,117°07′29″W
Waterbury,Connecticut,109307,41°33′31″N,73°02′12″W
Antioch,California,108930,37°58′39″N,121°47′51″W
Billings,Montana,108869,45°47′22″N,108°33′00″W
High Point,North Carolina,108629,35°59′08″N,79°59′25″W
Richardson,Texas,108617,32°58′20″N,96°42′29″W
Richmond,California,108565,37°57′11″N,122°21′34″W
West Covina,California,108455,34°03′21″N,117°54′36″W
Pueblo,Colorado,108423,38°16′23″N,104°36′45″W
Murrieta,California,108368,33°34′19″N,117°11′27″W
Centennial,Colorado,107201,39°35′26″N,104°52′09″W
Norwalk,California,107096,33°54′25″N,118°05′00″W
North Charleston,South Carolina,106749,32°53′07″N,80°01′01″W
Everett,Washington,106736,48°00′12″N,122°10′27″W
Pompano Beach,Florida,106105,26°14′33″N,80°07′44″W
Daly City,California,106094,37°42′03″N,122°27′54″W
Palm Bay,Florida,105838,27°59′08″N,80°39′45″W
Burbank,California,105368,34°11′20″N,118°19′30″W
Wichita Falls,Texas,105114,33°54′24″N,98°31′33″W
Boulder,Colorado,105112,40°01′03″N,105°16′47″W
Green Bay,Wisconsin,104891,44°31′15″N,87°59′03″W
Broken Arrow,Oklahoma,104726,36°02′11″N,95°46′52″W
West Palm Beach,Florida,104031,26°44′54″N,80°07′36″W
College Station,Texas,103483,30°36′05″N,96°18′52″W
Pearland,Texas,103441,29°33′16″N,95°17′45″W
Santa Maria,California,103410,34°56′00″N,120°26′38″W
El Cajon,California,103091,32°48′06″N,116°57′38″W
San Mateo,California,102893,37°33′15″N,122°18′47″W
Lewisville,Texas,102889,33°02′18″N,97°00′22″W
Rialto,California,102741,34°06′42″N,117°23′18″W
Davenport,Iowa,102448,41°33′15″N,90°36′14″W
Lakeland,Florida,102346,28°02′28″N,81°57′32″W
Clovis,California,102189,36°29′35″N,119°25′16″W
Edison,New Jersey,101970,40°30′14″N,74°20′58″W
Sandy Springs,Georgia,101908,33°33′41″N,84°13′37″W
Tyler,Texas,101421,32°21′N,95°18′W
Las Cruces,New Mexico,101408,32°19′11″N,106°45′55″W
South Bend,Indiana,101190,41°40′37″N,86°16′08″W
Woodbridge,New Jersey,100824,40°33′39″N,74°17′33″W
